row_id,CustomerID,Title,FirstName,MiddleName,LastName,Country,EmailAddress,Phone,LastUpdated
1,1,Mr.,Orlando,N.,Gee,USA,orlando0@adventure-works.com,245-555-0173,10/20/2024
2,2,Mr.,Keith,,Harris,USA,keith0@adventure-works.com,170-555-0127,10/20/2024
3,3,Ms.,Donna,F.,Carreras,USA,donna0@adventure-works.com,279-555-0130,10/20/2024
4,4,Ms.,Janet,M.,Gates,USA,janet1@adventure-works.com,710-555-0173,10/20/2024
5,5,Mr.,Lucy,,Harrington,USA,lucy0@adventure-works.com,828-555-0186,10/20/2024
6,6,Ms.,Rosmarie,J.,Carroll,USA,rosmarie0@adventure-works.com,244-555-0112,10/20/2024
7,7,Mr.,Dominic,P.,Gash,USA,dominic0@adventure-works.com,192-555-0173,10/20/2024
8,10,Ms.,Kathleen,M.,Garza,USA,kathleen0@adventure-works.com,150-555-0127,10/20/2024
9,11,Ms.,Katherine,,Harding,USA,katherine0@adventure-works.com,926-555-0159,10/20/2024
10,12,Mr.,Johnny,A.,Caprio,USA,johnny0@adventure-works.com,112-555-0191,10/20/2024
11,16,Mr.,Christopher,R.,Beck,USA,christopher1@adventure-works.com,1 (11) 500 555-0132,10/20/2024
12,18,Mr.,David,J.,Liu,USA,david20@adventure-works.com,440-555-0132,10/20/2024
13,19,Mr.,John,A.,Beaver,USA,john8@adventure-works.com,521-555-0195,10/20/2024
14,20,Ms.,Jean,P.,Handley,USA,jean1@adventure-works.com,582-555-0113,10/20/2024
15,21,,Jinghao,,Liu,USA,jinghao1@adventure-works.com,928-555-0116,10/20/2024
16,22,Ms.,Linda,E.,Burnett,USA,linda4@adventure-works.com,121-555-0121,10/20/2024
17,23,Mr.,Kerim,,Hanif,USA,kerim0@adventure-works.com,216-555-0122,10/20/2024
18,24,Mr.,Kevin,,Liu,USA,kevin5@adventure-works.com,926-555-0164,10/20/2024
19,25,Mr.,Donald,L.,Blanton,USA,donald0@adventure-works.com,357-555-0161,10/20/2024
20,28,Ms.,Jackie,E.,Blackwell,USA,jackie0@adventure-works.com,972-555-0163,10/20/2024
21,29,Mr.,Bryan,,Hamilton,USA,bryan2@adventure-works.com,344-555-0144,10/20/2024
22,30,Mr.,Todd,R.,Logan,USA,todd0@adventure-works.com,783-555-0110,10/20/2024
23,34,Ms.,Barbara,J.,German,USA,barbara4@adventure-works.com,1 (11) 500 555-0181,10/20/2024
24,37,Mr.,Jim,,Geist,USA,jim1@adventure-works.com,724-555-0161,10/20/2024
25,38,Ms.,Betty,M.,Haines,USA,betty0@adventure-works.com,867-555-0114,10/20/2024
26,39,Ms.,Sharon,J.,Looney,USA,sharon2@adventure-works.com,377-555-0132,10/20/2024
27,40,Mr.,Darren,,Gehring,USA,darren0@adventure-works.com,417-555-0182,10/20/2024
28,41,Ms.,Erin,M.,Hagens,USA,erin1@adventure-works.com,244-555-0127,10/20/2024
29,42,Mr.,Jeremy,,Los,USA,jeremy0@adventure-works.com,911-555-0165,10/20/2024
30,43,Ms.,Elsa,,Leavitt,USA,elsa0@adventure-works.com,482-555-0174,10/20/2024
31,46,Mr.,David,O,Lawrence,USA,david19@adventure-works.com,653-555-0159,10/20/2024
32,47,Ms.,Hattie,J.,Haemon,USA,hattie0@adventure-works.com,141-555-0172,10/20/2024
33,48,Ms.,Anita,R.,Lucerne,USA,anita0@adventure-works.com,164-555-0118,10/20/2024
34,52,Ms.,Rebecca,,Laszlo,USA,rebecca2@adventure-works.com,1 (11) 500 555-0155,10/20/2024
35,55,Mr.,Eric,,Lang,USA,eric6@adventure-works.com,932-555-0163,10/20/2024
36,56,Mr.,Brian,,Groth,USA,brian5@adventure-works.com,461-555-0118,10/20/2024
37,57,Ms.,Judy,R.,Lundahl,USA,judy1@adventure-works.com,260-555-0130,10/20/2024
38,58,Mr.,Peter,,Kurniawan,USA,peter4@adventure-works.com,436-555-0160,10/20/2024
39,59,Mr.,Douglas,,Groncki,USA,douglas2@adventure-works.com,385-555-0140,10/20/2024
40,60,Mr.,Sean,J.,Lunt,USA,sean4@adventure-works.com,183-555-0111,10/20/2024
41,61,Mr.,Jeffrey,,Kurtz,USA,jeffrey3@adventure-works.com,452-555-0179,10/20/2024
42,64,Mr.,Vamsi,,Kuppa,USA,vamsi1@adventure-works.com,290-555-0196,10/20/2024
43,65,Ms.,Jane,P.,Greer,USA,jane2@adventure-works.com,737-555-0163,10/20/2024
